,OPIS Truckstop ID,Address,Truckstop Name,City,State,Rack ID,Retail Price,lat_truck,lon_truck,lat_city,lon_city
828,6326,"I-35, EXIT 231 AND US-177",KANZA TRAVEL PLAZA,Braman,OK,500,3.02733333,36.9399511,-97.34381479999999,36.9236403,-97.3336552
829,6327,"I-40 & I-75, EXIT 369",PETRO STOPPING CENTER #312,Knoxville,TN,405,3.42566666,35.8749614,-84.2360795,35.9606384,-83.9207392
830,6330,I-69C/US-281 & FM-2812,TA EDINBURG TRAVEL CENTER,Edinburg,TX,639,3.01066666,26.3845678,-98.1434816,26.3017374,-98.1633432
831,6334,US-231/SR-75 & SR-20,231 PLAZA AND TRUCK STOP,Youngstown,FL,20,3.494,30.4333708,-85.4288524,30.3668657,-85.4382804
832,6341,"I-80, EXIT 214",TA RAWLINS TRAVEL CENTER,Rawlins,WY,795,3.72233333,41.7763184,-107.2244429,41.7910697,-107.2386627
833,6346,US-71/SR-60,SPEEDWAY #4710,Windom,MN,425,3.299,43.8725454,-95.1140787,43.8727352,-95.11138079999999
834,6351,"I-10, EXIT 1",FLYING J TRAVEL PLAZA #608,Ehrenberg,AZ,930,3.959,33.6041914,-114.5252322,33.6041914,-114.5252322
835,6356,ST 6 EAST,CIRCLE K #2721536,Batesville,MS,435,3.24066666,34.3114982,-89.9442567,34.3114982,-89.9442567
836,6370,"I-30/US-67, EXIT 68 & SR-205",TA ROCKWALL TRAVEL CENTER,Rockwall,TX,630,3.13733333,32.908264,-96.449646,32.9090739,-96.4500618
837,6374,I-90 &  US-20,TA ELGIN WEST TRAVEL CENTER,Hampshire,IL,290,3.5130000000000003,42.0978027,-88.53036430000002,42.0978027,-88.53036430000002
838,6387,"I-80, EXIT 229",FLYING J FRANCHISE #966,Battle Mountain,NV,966,3.79233333,40.6421334,-116.9342671,40.6421334,-116.9342671
839,6391,US-287,TOOT N TOTUM #106,Dumas,TX,585,3.00566666,35.8653789,-101.9732236,35.8653789,-101.9732236
